Role,University,Localization,Faculty,Gender,Academic_Age,Age
RU,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,7,46
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,"ROMA ""La Sapienza""",Centre,ECONOMIA,M,29,57
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PO,Univ. SALERNO,South,ECONOMIA,F,16,44
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
PA,Univ. SANNIO (BN),South,SC.ECON.AZIENDALI,M,13,50
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
RU,"ROMA ""La Sapienza""",Centre,ECONOMIA,F,6,44
PO,Univ. PADOVA,North,SCIENZE STATISTICHE,M,32,61
PO,Univ. PADOVA,North,SCIENZE STATISTICHE,M,32,61
PO,Univ. PADOVA,North,SCIENZE STATISTICHE,M,32,61
PO,Univ. PADOVA,North,SCIENZE STATISTICHE,M,32,61
PO,Univ. PADOVA,North,SCIENZE STATISTICHE,M,32,61
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
PO,Univ. NAPOLI,South,ECONOMIA,F,22,54
RU,Univ. PALERMO,Island,ECONOMIA,F,28,58
RU,Univ. PALERMO,Island,ECONOMIA,F,28,58
RU,Univ. PALERMO,Island,ECONOMIA,F,28,58
RU,Univ. PALERMO,Island,ECONOMIA,F,28,58
RU,Univ. PALERMO,Island,ECONOMIA,F,28,58
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,Univ. SIENA,Centre,ECONOMIA,M,21,51
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,M,32,64
PO,Univ. ROMA TRE,Centre,ECONOMIA,F,21,50
PO,Univ. ROMA TRE,Centre,ECONOMIA,F,21,50
PO,Univ. ROMA TRE,Centre,ECONOMIA,F,21,50
PO,Univ. ROMA TRE,Centre,ECONOMIA,F,21,50
PO,Univ. ROMA TRE,Centre,ECONOMIA,F,21,50
PA,Univ. FIRENZE,Centre,ECONOMIA,M,23,59
PA,Univ. FIRENZE,Centre,ECONOMIA,M,23,59
PA,Univ. FIRENZE,Centre,ECONOMIA,M,23,59
PA,Univ. FIRENZE,Centre,ECONOMIA,M,23,59
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
RU,"ROMA ""La Sapienza""",Centre,SC. POL. SOC. e COM.,F,11,50
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,Univ. PERUGIA,Centre,ECONOMIA,M,11,40
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PO,"ROMA ""La Sapienza""",Centre,ING.INFOR.INFORM.ST.,M,32,60
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
PA,Univ. UDINE,North,INGEGNERIA,M,11,41
